Name,NumAttr,NumOps,NumPubOps,Setters,Getters,Nesting,IFImpl,NOC,NumDesc,NumAnc,DIT,CLD,OpsInh,AttrInh,Dep_Out,Dep_In,NumAssEl_ssc,NumAssEl_sb,NumAssEl_nsb,EC_Attr,IC_Attr,EC_Par,IC_Par,'EndWithManager, Controller','HasType, Annotation, List','EndWithFactory, Impl, Implementation',IsEntity,'Confidence level','Role Stereotypes'
Data.javaclient2.extra.PIController,2,6,6,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,No,No,No,five,four
Data.javaclient2.extra.PIDController,3,8,8,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,No,No,No,five,four
Data.javaclient2.extra.PositionControl,9,11,10,3,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,5,Yes,No,No,No,five,four
Data.javaclient2.extra.PositionGeometryTools,0,6,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,No,No,No,No,five,one
Data.javaclient2.structures.blobfinder.PlayerBlobfinderBlob,10,20,20,10,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,No,No,No,No,five,one
Data.javaclient2.structures.bumper.PlayerBumperDefine,3,6,6,3,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,2,2,No,No,No,No,five,one
Data.javaclient2.structures.bumper.PlayerBumperGeom,2,4,4,2,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,2,No,No,No,No,five,one
Data.javaclient2.structures.fiducial.PlayerFiducialItem,3,6,6,3,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,2,4,No,No,No,No,five,one
Data.javaclient2.structures.ir.PlayerIrPose,2,4,4,2,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,2,No,No,No,No,five,one
Data.javaclient2.structures.laser.PlayerLaserConfig,6,12,12,6,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,No,No,No,No,five,one
Data.javaclient2.structures.laser.PlayerLaserGeom,2,4,4,2,2,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,2,1,4,No,No,No,No,five,one
Data.javaclient2.structures.planner.PlayerPlannerWaypointsReq,2,4,4,2,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,2,No,No,No,No,five,one
Data.javaclient2.structures.player.PlayerDeviceDevlist,2,4,4,2,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,2,No,Yes,No,No,five,one
Data.javaclient2.structures.player.PlayerDeviceDriverInfo,3,6,6,3,3,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,2,1,4,No,No,No,No,five,one
Data.javaclient2.structures.position1d.PlayerPosition1dData,4,8,8,4,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,No,No,No,No,five,one
Data.javaclient2.structures.position1d.PlayerPosition1dGeom,2,4,4,2,2,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,2,1,4,No,No,No,No,five,one
Data.javaclient2.structures.position2d.PlayerPosition2dGeom,2,4,4,2,2,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,2,1,4,No,No,No,No,five,one
Data.javaclient2.structures.position3d.PlayerPosition3dGeom,2,4,4,2,2,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,2,1,4,No,No,No,No,five,one
Data.javaclient2.structures.simulation.PlayerSimulationPose2dReq,3,6,6,3,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,2,No,No,No,No,five,one
Data.javaclient2.structures.sonar.PlayerSonarGeom,2,4,4,2,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,2,No,No,No,No,five,one
Data.javaclient2.structures.wifi.PlayerWifiLink,12,24,24,12,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,No,No,No,No,five,one
Data.javaclient2.AIOInterface,2,5,5,1,2,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,1,1,3,No,No,No,No,five,one
Data.javaclient2.AudioDSPInterface,5,10,10,1,5,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,2,1,7,No,No,No,No,five,one
Data.javaclient2.AudioMixerInterface,3,6,6,1,3,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,1,1,4,No,No,No,No,five,one
Data.javaclient2.BlinkenlightInterface,2,9,9,5,2,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,1,1,5,No,No,No,No,five,one
Data.javaclient2.BlobfinderInterface,3,7,6,2,2,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,1,1,6,No,No,No,No,five,one
Data.javaclient2.BumperInterface,5,9,8,0,4,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,2,1,5,No,No,No,No,five,one
Data.javaclient2.CameraInterface,2,4,4,0,2,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,1,1,3,No,No,No,No,five,one
Data.javaclient2.DIOInterface,2,5,5,1,2,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,1,1,3,No,No,No,No,five,one
Data.javaclient2.FiducialInterface,9,16,15,2,8,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,3,1,7,No,No,No,No,five,one
Data.javaclient2.GPSInterface,2,4,4,0,2,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,1,1,3,No,No,No,No,five,one
Data.javaclient2.GripperInterface,5,9,9,1,4,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,2,1,5,No,No,No,No,five,one
Data.javaclient2.IRInterface,5,9,9,1,4,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,2,1,5,No,No,No,No,five,one
Data.javaclient2.JoystickInterface,2,4,4,0,2,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,1,1,3,No,No,No,No,five,one
Data.javaclient2.LaserInterface,9,16,15,2,9,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,4,1,9,No,No,No,No,five,one
Data.javaclient2.LocalizeInterface,5,9,8,1,4,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,2,1,6,No,No,No,No,five,one
Data.javaclient2.LogInterface,3,9,8,3,2,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,1,1,4,No,No,No,No,five,one
Data.javaclient2.MapInterface,7,13,12,0,6,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,3,1,7,No,No,No,No,five,one
Data.javaclient2.MComInterface,3,11,11,1,2,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,1,1,9,No,No,No,No,five,one
Data.javaclient2.PlannerInterface,5,10,9,2,5,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,2,1,6,No,No,No,No,five,one
Data.javaclient2.PlayerClient,21,64,56,1,8,0,0,0,0,0,0,0,0,0,46,36,0,0,0,1,9,36,44,No,No,No,No,five,three
Data.javaclient2.PlayerDevice,6,11,9,3,3,0,0,0,0,0,0,0,0,0,6,1,0,0,0,2,5,0,7,No,No,No,No,five,three
Data.javaclient2.Position2DInterface,5,24,21,11,7,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,2,1,8,No,No,No,No,five,six
Data.javaclient2.Position3DInterface,5,23,21,10,7,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,2,1,8,No,No,No,No,five,one
Data.javaclient2.PowerInterface,3,6,5,0,2,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,1,1,4,No,No,No,No,five,one
Data.javaclient2.PtzInterface,5,12,11,2,4,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,2,1,6,No,No,No,No,five,one
Data.javaclient2.SimulationInterface,5,10,9,2,5,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,2,1,8,No,No,No,No,five,one
Data.javaclient2.SonarInterface,5,9,9,1,4,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,2,1,5,No,No,No,No,five,one
Data.javaclient2.SoundInterface,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,No,No,No,No,five,one
Data.javaclient2.SpeechInterface,0,2,2,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,2,No,No,No,No,five,one
Data.javaclient2.SpeechRecognitionInterface,2,4,4,0,2,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,1,1,3,No,No,No,No,five,one
Data.javaclient2.WaveformInterface,2,4,4,0,2,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,1,1,3,No,No,No,No,five,one
Data.javaclient2.WiFiInterface,3,7,7,0,2,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,1,1,4,No,No,No,No,five,one
Data.brain.bo.AbstractBusinessObject,0,5,4,0,2,0,0,0,0,0,0,0,0,0,1,9,0,0,0,6,0,9,2,No,No,No,No,five,six
